Year (year),Month (month),State Name (state_name),State Code (state_code),Assembly No (assembly_no),Assembly Constituency Name (ac_name),Assmebly Constituency Type (ac_type),Candidate Name (candidate_name),Sex (sex),Age (age),Candidate Type (candidate_type),Party (party),Position (position),Assembly Constituency Candidates (ac_total_candidates),Total Electors in Constituency (total_electors),Total Votes Obtained (total_votes),Total Valid Votes (total_valid_votes),Vote Share Percentage (vote_share_percentage),Margin (margin),Margin Percentage (margin_percentage),Turn out Percentage (turnout_percentage),Poll No (poll_no),Delimit Id (delimit_id)
"2009","10","Maharashtra","27","11.0","Hatkanangle","SC","Malage Mangalrao Jinnappa","MALE","55.0","SC","BSP","6.0","6.0","276770.0","5057.0","195076.0","2.59","0.0","0.0","70.48","0.0","4.0"
"2017","12","Gujarat","24","13.0","Somnath","GEN","Chauhan Rafik Husen","MALE","47.0","GEN","IND","12.0","14.0","234979.0","126.0","178377.0","0.07","16.0","0.01","75.91","0.0","4.0"
"2013","12","Madhya Pradesh","23","14.0","Amarpatan","GEN","Jansewak Mohammad Khalil Khan","MALE","40.0","GEN","IND","7.0","12.0","206121.0","1147.0","148589.0","0.77","30.0","0.02","72.09","0.0","4.0"
"2014","12","Jammu And Kashmir","01","10.0","Handwara","GEN","Ajaz Ahmad Sofi","MALE","44.0","GEN","IND","8.0","12.0","89983.0","397.0","67974.0","0.58","7.0","0.01","75.54","0.0","4.0"
"2010","11","Bihar","10","15.0","Garkha","SC","Bhola Ram","MALE","53.0","SC","JPS","9.0","9.0","212209.0","650.0","103630.0","0.63","0.0","0.0","48.83","0.0","4.0"
"2016","5","Tamil Nadu","33","11.0","Tiruvadanai","GEN","Karunaas","MALE","46.0","GEN","AIADMK","1.0","21.0","273644.0","76786.0","186649.0","41.14","8696.0","4.66","68.21","0.0","4.0"
"2018","12","Rajasthan","08","15.0","Shahpura","GEN","Nota","None","","GEN","NOTA","4.0","9.0","208306.0","1432.0","174001.0","0.82","457.0","0.26","83.53","0.0","4.0"
"2012","3","Uttarakhand","05","3.0","Pirankaliyar","GEN","Mohd Iqbal","MALE","48.0","GEN","SP","7.0","16.0","91933.0","192.0","73813.0","0.26","28.0","0.04","80.29","0.0","4.0"
"2012","12","Himachal Pradesh","02","12.0","Nagrota","GEN","Arun Kumar","MALE","48.0","GEN","IND","2.0","8.0","74574.0","20883.0","55257.0","37.79","12090.0","21.88","74.1","0.0","4.0"
"2018","12","Andhra Pradesh","28","2.0","Koratla","GEN","Puppala Limbadri","MALE","","GEN","BSP","6.0","12.0","216038.0","939.0","163866.0","0.57","47.0","0.03","75.85","0.0","4.0"
"2014","5","Andhra Pradesh","28","14.0","Ponnur","GEN","Chavali Edukondalu Yadav","MALE","51.0","GEN","IND","9.0","13.0","208168.0","230.0","176251.0","0.13","20.0","0.01","84.67","0.0","4.0"
"2009","12","Jammu And Kashmir","01","9.0","Bhaderwah","GEN","Sheikh Mujib Ali","None","","GEN","JKNPP","3.0","8.0","93183.0","7146.0","53200.0","13.43","4750.0","8.93","57.09","1.0","4.0"
"2020","11","Bihar","10","17.0","Manjhi","GEN","Dr Satyendra Yadav","MALE","43.0","GEN","CPIM","1.0","17.0","302479.0","59324.0","157930.0","37.56","25386.0","16.07","52.21","0.0","4.0"
"2011","5","Kerala","32","14.0","Kovalam","GEN","Adv George Mercier","MALE","58.0","GEN","INC","2.0","7.0","183616.0","52305.0","125008.0","41.84","43178.0","34.54","68.08","0.0","4.0"
"2012","3","Goa","30","6.0","Siroda","GEN","Vishwas Prabhudesai","MALE","41.0","GEN","IND","3.0","5.0","26030.0","422.0","22984.0","1.84","192.0","0.84","88.3","0.0","4.0"
"2010","11","Bihar","10","15.0","Barbigha","GEN","Ashok Choudhary","MALE","43.0","GEN","INC","2.0","11.0","185487.0","21089.0","92414.0","22.82","940.0","1.02","49.82","0.0","4.0"
"2009","12","Jharkhand","20","2.0","Jamshedpur East","GEN","Abhay Singh","MALE","39.0","GEN","JVM","2.0","15.0","247387.0","33202.0","111679.0","29.73","22258.0","19.93","45.14","0.0","4.0"
"2011","2","West Bengal","19","15.0","Raiganj","GEN","Mohit Sengupta","MALE","60.0","GEN","INC","1.0","7.0","149614.0","62864.0","126506.0","49.69","5409.0","4.28","84.55","0.0","4.0"
"2014","12","Jharkhand","20","3.0","Khunti","ST","Marshal Barla","MALE","40.0","ST","BSP","12.0","12.0","190333.0","1031.0","119825.0","0.86","108.0","0.09","62.96","0.0","4.0"
"2021","5","Puducherry","34","14.0","Lawspet","GEN","C Pandian","MALE","49.0","GEN","IND","9.0","11.0","33225.0","60.0","26245.0","0.23","27.0","0.1","78.99","0.0","4.0"
"2011","5","Tamil Nadu","33","10.0","Velachery","GEN","C M Vijayakumar","MALE","46.0","GEN","PB","9.0","14.0","227249.0","435.0","152364.0","0.29","100.0","0.07","67.05","0.0","4.0"
"2013","12","Mizoram","15","11.0","Lawngtlai East","ST","Nota","None","","ST","NOTA","4.0","3.0","21253.0","86.0","16837.0","0.51","0.0","0.0","79.22","0.0","4.0"
"2015","11","Bihar","10","16.0","Biharsharif","GEN","Nota","None","","GEN","NOTA","4.0","13.0","348565.0","5191.0","178327.0","2.91","2932.0","1.64","51.16","0.0","4.0"
"2009","5","Odisha","21","14.0","Berhampur","GEN","Dr Ramesh Chandra Chyau Patnaik","MALE","65.0","GEN","BJD","1.0","9.0","170830.0","38407.0","82279.0","46.68","3844.0","4.67","48.16","0.0","4.0"
"2011","5","Tamil Nadu","33","10.0","Kancheepuram","GEN","S Magesh","MALE","33.0","GEN","IND","11.0","14.0","237837.0","352.0","192235.0","0.18","56.0","0.03","80.83","0.0","4.0"
"2013","12","Madhya Pradesh","23","14.0","Huzur","GEN","Rajendra Mandloi","MALE","36.0","GEN","INC","2.0","8.0","255309.0","49390.0","166443.0","29.67","46693.0","28.05","65.19","0.0","4.0"
"2020","11","Bihar","10","17.0","Barhampur","GEN","Shambhu Nath Yadav","MALE","56.0","GEN","RJD","1.0","15.0","340864.0","90176.0","185396.0","48.64","51141.0","27.58","54.39","0.0","4.0"
"2012","3","Manipur","14","11.0","Wabgai","GEN","Khomdram Tamphajao","MALE","62.0","GEN","BJP","4.0","4.0","24837.0","125.0","22904.0","0.55","0.0","0.0","92.22","0.0","4.0"
"2019","4","Andhra Pradesh","28","15.0","Tadpatri","GEN","Mamilla. Narayana Swamy.","MALE","49.0","GEN","IND","10.0","11.0","234924.0","229.0","187874.0","0.12","67.0","0.04","79.97","0.0","4.0"
"2018","12","Madhya Pradesh","23","15.0","Rajnagar","GEN","Muhammad Sattar","MALE","","GEN","IND","8.0","13.0","216952.0","1140.0","143862.0","0.79","115.0","0.08","66.31","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Agra Cantonment","SC","Nota","None","","SC","NOTA","5.0","14.0","427523.0","1185.0","252816.0","0.47","40.0","0.02","59.14","0.0","4.0"
"2019","4","Andhra Pradesh","28","15.0","Guntur West","GEN","Venigalla Pushpalatha","FEMALE","61.0","GEN","CPIM","17.0","35.0","265258.0","106.0","174645.0","0.06","6.0","0.0","65.84","0.0","4.0"
"2009","10","Maharashtra","27","11.0","Shahada","ST","Savitri Magan Padvi","FEMALE","30.0","ST","RWS","12.0","14.0","257248.0","755.0","144652.0","0.52","47.0","0.03","56.23","0.0","4.0"
"2014","10","Maharashtra","27","12.0","Sillod","GEN","Kale Dipali Madhukar","FEMALE","27.0","GEN","MNS","4.0","16.0","278474.0","3465.0","209881.0","1.65","344.0","0.16","75.37","0.0","4.0"
"2019","4","Andhra Pradesh","28","15.0","Kurnool","GEN","Venkata Subba Reddy. B","MALE","50.0","GEN","BJP","5.0","29.0","258876.0","1954.0","152659.0","1.28","1254.0","0.82","58.97","0.0","4.0"
"2012","12","Gujarat","24","12.0","Surat North","GEN","Nagori Sidik Dawoodbhai","MALE","52.0","GEN","IND","13.0","16.0","152013.0","124.0","103329.0","0.12","29.0","0.03","67.97","0.0","4.0"
"2020","11","Bihar","10","17.0","Munger","GEN","Awadhesh Kumar Yadav","MALE","60.0","GEN","IND","13.0","16.0","339048.0","285.0","165216.0","0.17","26.0","0.02","48.73","0.0","4.0"
"2017","12","Gujarat","24","13.0","Asarwa","SC","Vaghela Kanubhai Atmaram","MALE","57.0","SC","INC","2.0","9.0","202480.0","37974.0","132571.0","28.64","35184.0","26.54","65.47","0.0","4.0"
"2017","12","Gujarat","24","13.0","Mehemdabad","GEN","Gautambhai Ravjibhai Chauhan","MALE","54.0","GEN","INC","2.0","4.0","226423.0","67993.0","171443.0","39.66","58180.0","33.94","75.72","0.0","4.0"
"2017","3","Uttarakhand","05","4.0","Someshwar","SC","Puran Chandra","MALE","31.0","SC","IND","6.0","6.0","85597.0","263.0","45883.0","0.57","45.0","0.1","53.6","0.0","4.0"
"2011","5","Tamil Nadu","33","10.0","Maduravoyal","GEN","Yosuva P","MALE","52.0","GEN","BSP","5.0","13.0","269513.0","2040.0","185925.0","1.1","498.0","0.27","68.99","0.0","4.0"
"2011","5","Assam","18","13.0","Dholai","SC","Brojendra Das","MALE","35.0","SC","CPI","4.0","8.0","139666.0","2065.0","102881.0","2.01","409.0","0.4","73.66","0.0","4.0"
"2013","5","Karnataka","29","9.0","Tarikere","GEN","Doranalu Suresh","MALE","36.0","GEN","SKP","6.0","16.0","159977.0","2116.0","124727.0","1.7","1138.0","0.91","77.97","0.0","4.0"
"2012","3","Manipur","14","11.0","Bishnupur","GEN","Maisnam Ibopishak","MALE","68.0","GEN","IND","6.0","7.0","27826.0","107.0","24080.0","0.44","44.0","0.18","86.54","0.0","4.0"
"2011","2","West Bengal","19","15.0","Mangalkot","GEN","Apurba Chaudhuri","MALE","41.0","GEN","AITC","2.0","5.0","202627.0","81190.0","175927.0","46.15","73966.0","42.04","86.82","0.0","4.0"
"2018","12","Rajasthan","08","15.0","Sri Ganganagar","GEN","Daya Ram","MALE","","GEN","BLSP","20.0","22.0","219997.0","219.0","169653.0","0.13","42.0","0.02","77.12","0.0","4.0"
"2018","12","Chhattisgarh","22","4.0","Sakti","GEN","Kaleshwar Singh Maravi","MALE","","GEN","GGP","4.0","14.0","196588.0","1202.0","148495.0","0.81","70.0","0.05","75.54","0.0","4.0"
"2021","5","Tamil Nadu","33","12.0","Srivaikuntam","GEN","Ponnudurai I","MALE","26.0","GEN","IND","11.0","21.0","227240.0","297.0","164386.0","0.18","64.0","0.04","72.34","0.0","4.0"
"2017","12","Gujarat","24","13.0","Bhavnagar Rural","GEN","Kantibhai Tapubhai Chauhan","MALE","52.0","GEN","INC","2.0","10.0","258467.0","58562.0","161946.0","36.16","55099.0","34.02","62.66","0.0","4.0"
"2019","10","Maharashtra","27","13.0","Parbhani","GEN","Sk Ali Sk Nabi","MALE","41.0","GEN","IND","16.0","16.0","306460.0","243.0","192260.0","0.13","0.0","0.0","62.74","0.0","4.0"
"2016","5","Tamil Nadu","33","11.0","Veppanahalli","GEN","Madhu A V M Hemnath M","MALE","41.0","GEN","AIADMK","2.0","18.0","228145.0","83724.0","193325.0","43.31","78248.0","40.47","84.74","0.0","4.0"
"2016","5","Tamil Nadu","33","11.0","Mettur","GEN","Karunakaran M V","MALE","74.0","GEN","GPI","19.0","24.0","263189.0","268.0","207574.0","0.13","30.0","0.01","78.87","0.0","4.0"
"2015","11","Bihar","10","16.0","Bihariganj","GEN","Mithilesh Kumar Mehta","MALE","47.0","GEN","JMM","12.0","15.0","284140.0","1292.0","173137.0","0.75","5.0","0.0","60.93","0.0","4.0"
"2014","5","Telangana","36","1.0","Huzurnagar","GEN","Tanneru Venkateshwarlu","MALE","34.0","GEN","AAAP","8.0","9.0","220141.0","462.0","179438.0","0.26","57.0","0.03","81.51","0.0","4.0"
"2014","12","Jammu And Kashmir","01","10.0","Sonawar","GEN","Mohammad Younus Najar","MALE","26.0","GEN","RAJPA","8.0","14.0","77512.0","410.0","34107.0","1.2","105.0","0.31","44.0","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Muradnagar","GEN","Sudhan Kumar","MALE","50.0","GEN","BSP","2.0","14.0","419254.0","51147.0","253532.0","20.17","1158.0","0.46","60.47","0.0","4.0"
"2018","12","Telangana","36","2.0","Mahabubabad","ST","Daramsothu Narayana Singh","MALE","","ST","IND","8.0","11.0","216605.0","1030.0","184940.0","0.56","95.0","0.05","85.38","0.0","4.0"
"2018","5","Karnataka","29","10.0","Bhalki","GEN","Vaijinath Shapure","MALE","","GEN","IND","6.0","11.0","222472.0","577.0","167058.0","0.35","109.0","0.07","75.09","0.0","4.0"
"2009","10","Maharashtra","27","11.0","Wani","GEN","Aabid Husain Jahid Husen","MALE","51.0","GEN","IND","14.0","14.0","247076.0","355.0","174289.0","0.2","0.0","0.0","70.54","0.0","4.0"
"2012","3","Uttar Pradesh","09","16.0","Bara","SC","Rajmani","MALE","39.0","SC","RJPK","19.0","23.0","292265.0","568.0","172634.0","0.33","4.0","0.0","59.07","0.0","4.0"
"2016","5","Assam","18","14.0","Titabar","GEN","Tarun Gogoi","MALE","79.0","GEN","INC","1.0","6.0","136227.0","62025.0","113504.0","54.65","17495.0","15.41","83.32","0.0","4.0"
"2021","5","Assam","18","15.0","Gossalgaon","GEN","Nota","None","","GEN","NOTA","6.0","11.0","186872.0","1801.0","155796.0","1.16","389.0","0.25","83.37","0.0","4.0"
"2018","5","Karnataka","29","10.0","Jevargi","GEN","Kedarlingayya Hiremath","MALE","","GEN","JD(S)","3.0","11.0","231847.0","35691.0","161746.0","22.07","34381.0","21.26","69.76","0.0","4.0"
"2014","10","Maharashtra","27","12.0","Kalwan","ST","Arjun Tulshiram Pawar","MALE","77.0","ST","NCP","2.0","7.0","241613.0","63009.0","174889.0","36.03","37552.0","21.47","72.38","0.0","4.0"
"2021","5","West Bengal","19","17.0","Tapan","ST","Nota","None","","ST","NOTA","5.0","7.0","222777.0","1703.0","186309.0","0.91","388.0","0.21","83.63","0.0","4.0"
"2016","5","Tamil Nadu","33","11.0","Madurai West","GEN","Thalapathi G","MALE","60.0","GEN","DMK","2.0","20.0","280863.0","66131.0","184180.0","35.91","46140.0","25.05","65.58","0.0","4.0"
"2020","11","Bihar","10","17.0","Bodh Gaya","SC","Sanjay Kumar Choudhary","MALE","37.0","SC","BHULKD","10.0","18.0","315397.0","1998.0","193434.0","1.03","79.0","0.04","61.33","0.0","4.0"
"2016","5","Tamil Nadu","33","11.0","Nagercoil","GEN","Kathiresan R","MALE","63.0","GEN","GMI","14.0","19.0","263633.0","154.0","173324.0","0.09","7.0","0.0","65.74","0.0","4.0"
"2011","5","Tamil Nadu","33","10.0","Tiruttani","GEN","Raman E S S","MALE","56.0","GEN","INC","2.0","13.0","236733.0","71988.0","191237.0","37.64","62228.0","32.54","80.78","0.0","4.0"
"2012","3","Uttar Pradesh","09","16.0","Captainganj","GEN","Chhakkan Ram","MALE","48.0","GEN","KrSaP","12.0","15.0","313448.0","584.0","186992.0","0.31","102.0","0.05","59.66","0.0","4.0"
"2018","12","Rajasthan","08","15.0","Sadulshahar","GEN","Om Bishnoi","MALE","","GEN","IND","3.0","11.0","216527.0","36767.0","184756.0","19.9","34165.0","18.49","85.33","0.0","4.0"
"2021","5","Tamil Nadu","33","12.0","Palacode","GEN","Rajasekar D","MALE","46.0","GEN","MNM","6.0","12.0","236459.0","1176.0","206595.0","0.57","591.0","0.29","87.37","0.0","4.0"
"2019","4","Andhra Pradesh","28","15.0","Salur","ST","R. P. Bhanj Deo","MALE","64.0","ST","TDP","2.0","9.0","190936.0","58401.0","151713.0","38.49","53527.0","35.28","79.46","0.0","4.0"
"2012","12","Himachal Pradesh","02","12.0","Sujanpur","GEN","Parveen Kumar","MALE","46.0","GEN","BSP","4.0","7.0","65006.0","258.0","44847.0","0.58","21.0","0.05","68.99","0.0","4.0"
"2011","5","Assam","18","13.0","Hajo","GEN","Pranabjyoti Bharali","MALE","30.0","GEN","IND","8.0","8.0","138141.0","471.0","108312.0","0.43","0.0","0.0","78.41","0.0","4.0"
"2021","5","Tamil Nadu","33","12.0","Gingee","GEN","Nota","None","","GEN","NOTA","5.0","13.0","264518.0","2279.0","206880.0","1.1","128.0","0.06","78.21","0.0","4.0"
"2016","5","Kerala","32","15.0","Eranakulam","GEN","Anilkumar Puliyoth","MALE","48.0","GEN","IND","9.0","8.0","154092.0","114.0","110508.0","0.1","0.0","0.0","71.72","0.0","4.0"
"2019","4","Andhra Pradesh","28","15.0","Kadapa","GEN","Akber Mabasha","MALE","59.0","GEN","AYSRCP","13.0","16.0","265211.0","91.0","166688.0","0.05","0.0","0.0","62.85","0.0","4.0"
"2011","5","Kerala","32","14.0","Thrissur","GEN","Adv Therambil Ramakrishnan","MALE","69.0","GEN","INC","1.0","5.0","161886.0","59991.0","112794.0","53.19","16169.0","14.33","69.67","0.0","4.0"
"2014","10","Maharashtra","27","12.0","Ghansawangi","GEN","Rajeshbhaiyya Tope","MALE","45.0","GEN","NCP","1.0","14.0","283562.0","98030.0","213662.0","45.88","43476.0","20.35","75.35","0.0","4.0"
"2016","5","Tamil Nadu","33","11.0","Perambur","GEN","S Mohan","MALE","47.0","GEN","IND","19.0","33.0","290522.0","158.0","188681.0","0.08","0.0","0.0","64.95","0.0","4.0"
"2012","12","Himachal Pradesh","02","12.0","Barsar","GEN","Piar Singh Bhogal","MALE","47.0","GEN","IND","7.0","7.0","75582.0","134.0","51040.0","0.26","0.0","0.0","67.53","0.0","4.0"
"2020","11","Bihar","10","17.0","Warsaliganj","GEN","Rajendra Prasad","MALE","60.0","GEN","RLSP","4.0","11.0","351015.0","4755.0","171126.0","2.78","745.0","0.44","48.75","0.0","4.0"
"2012","3","Uttar Pradesh","09","16.0","Harraiya","GEN","Ajay Kumar","MALE","37.0","GEN","INC","3.0","16.0","330223.0","25607.0","194826.0","13.14","14955.0","7.68","59.0","0.0","4.0"
"2018","12","Madhya Pradesh","23","15.0","Ujjain North","GEN","Vinod Sharma","MALE","","GEN","AAAP","8.0","9.0","217872.0","287.0","147207.0","0.19","96.0","0.07","67.57","0.0","4.0"
"2014","10","Haryana","06","12.0","Gharaunda","GEN","Harvinder Kalyan","MALE","47.0","GEN","BJP","1.0","14.0","192125.0","55247.0","155576.0","35.51","17883.0","11.49","80.98","0.0","4.0"
"2021","5","Kerala","32","16.0","Ottapalam","GEN","Adv K Premkumar","MALE","42.0","GEN","CPM","1.0","4.0","212697.0","74859.0","161161.0","46.45","15152.0","9.4","75.77","0.0","4.0"
"2018","5","Karnataka","29","10.0","Mulbagal","SC","C V Gopal","MALE","","SC","IND","33.0","39.0","201019.0","129.0","164490.0","0.08","12.0","0.01","81.83","0.0","4.0"
"2011","5","Kerala","32","14.0","Idukki","GEN","P C Prabhakaran","MALE","69.0","GEN","IND","5.0","7.0","169984.0","325.0","119773.0","0.27","99.0","0.08","70.46","0.0","4.0"
"2015","11","Bihar","10","16.0","Manihari","ST","Prabhulal Uraon","MALE","57.0","ST","SDPI","12.0","18.0","247621.0","1817.0","159465.0","1.14","38.0","0.02","64.4","0.0","4.0"
"2013","12","Chhattisgarh","22","3.0","Bemetara","GEN","Sanjay Mishra","MALE","43.0","GEN","IND","7.0","17.0","197852.0","2421.0","156942.0","1.54","872.0","0.56","79.32","0.0","4.0"
"2009","5","Odisha","21","14.0","Chhendipada","SC","Mili Naik","FEMALE","27.0","SC","RPI(A)","5.0","5.0","172675.0","2196.0","119886.0","1.83","0.0","0.0","69.43","0.0","4.0"
"2015","11","Bihar","10","16.0","Amarpur","GEN","Manoj Kumar Azad","MALE","46.0","GEN","IND","10.0","14.0","276830.0","619.0","153925.0","0.4","73.0","0.05","55.6","0.0","4.0"
"2018","12","Chhattisgarh","22","4.0","Pandariya","GEN","Motiram Chandravanshi","MALE","","GEN","BJP","2.0","12.0","279459.0","64420.0","217548.0","29.61","30873.0","14.19","77.85","0.0","4.0"
"2009","10","Maharashtra","27","11.0","Miraj","SC","Kadam Shamrao Piraji","MALE","65.0","SC","IND","21.0","22.0","274422.0","256.0","172066.0","0.15","43.0","0.02","62.7","0.0","4.0"
"2011","5","Tamil Nadu","33","10.0","Udumalpet","GEN","Viswanathan M","MALE","42.0","GEN","BJP","3.0","7.0","200450.0","3817.0","156845.0","2.43","1414.0","0.9","78.25","0.0","4.0"
"2020","11","Bihar","10","17.0","Raghopur","GEN","Nota","None","","GEN","NOTA","4.0","15.0","344369.0","4458.0","199853.0","2.23","977.0","0.49","58.03","0.0","4.0"
"2019","10","Maharashtra","27","13.0","Mira Bhayandar","GEN","Faheem Ahmed Shaikh","MALE","26.0","GEN","NAP","10.0","13.0","437178.0","515.0","211636.0","0.24","337.0","0.16","48.41","0.0","4.0"
"2021","5","Kerala","32","16.0","Chelakkara","SC","Shajumon Vattekkad","MALE","46.0","SC","BJP","3.0","4.0","201703.0","24045.0","153315.0","15.68","22925.0","14.95","76.01","0.0","4.0"
"2019","4","Andhra Pradesh","28","15.0","Hindupur","GEN","Nandamuri Balakrishna","MALE","58.0","GEN","TDP","1.0","12.0","229340.0","91704.0","178167.0","51.47","17028.0","9.56","77.69","0.0","4.0"
"2012","3","Punjab","03","14.0","Abohar","GEN","Shiv Lal Doda","MALE","43.0","GEN","IND","2.0","12.0","146747.0","45825.0","114869.0","39.89","36574.0","31.84","78.28","0.0","4.0"
"2019","10","Haryana","06","13.0","Hodal","SC","Nota","None","","SC","NOTA","6.0","15.0","178516.0","570.0","121981.0","0.47","217.0","0.18","68.33","0.0","4.0"
"2011","2","West Bengal","19","15.0","Ranibundh","ST","Debalina Hembram","FEMALE","49.0","ST","CPM","1.0","7.0","200986.0","75388.0","170373.0","44.25","6859.0","4.03","84.77","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Bilaur","SC","Surendra Singh","MALE","45.0","SC","BSRD","7.0","9.0","377575.0","858.0","240684.0","0.36","77.0","0.03","63.74","0.0","4.0"
"2018","12","Madhya Pradesh","23","15.0","Shujalpur","GEN","Ramveer Singh Sikarwar","MALE","","GEN","INC","2.0","10.0","195473.0","73329.0","160763.0","45.61","71283.0","44.34","82.24","0.0","4.0"
"2015","11","Bihar","10","16.0","Chainpur","GEN","Alok Kumar Singh","MALE","42.0","GEN","SP","4.0","14.0","288540.0","12802.0","177671.0","7.21","9394.0","5.29","61.58","0.0","4.0"
"2017","12","Gujarat","24","13.0","Palanpur","GEN","Foshi Shivrambhai Maganbhai","MALE","57.0","GEN","NCP","4.0","14.0","251161.0","1057.0","175661.0","0.6","1.0","0.0","69.94","0.0","4.0"
"2014","10","Haryana","06","12.0","Gurgaon","GEN","Dharam Vir","MALE","43.0","GEN","BSP","6.0","18.0","296372.0","3923.0","189965.0","2.07","1747.0","0.92","64.1","0.0","4.0"
"2013","12","Madhya Pradesh","23","14.0","Vijayraghavgarh","GEN","Mathura Prasad","MALE","46.0","GEN","IND","7.0","10.0","195183.0","1948.0","150526.0","1.29","726.0","0.48","77.12","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Mahadeva","SC","Devi Prasad","MALE","39.0","SC","IND","8.0","9.0","341194.0","713.0","199317.0","0.36","167.0","0.08","58.42","0.0","4.0"
"2018","12","Andhra Pradesh","28","2.0","Malkajgiri","GEN","R Vishnu Vardhan","MALE","","GEN","AAAP","20.0","42.0","393679.0","237.0","209499.0","0.11","11.0","0.01","53.22","0.0","4.0"
"2013","12","Rajasthan","08","14.0","Amber","GEN","Ummed Singh Budthal","MALE","61.0","GEN","IND","6.0","14.0","207147.0","3016.0","163666.0","1.84","512.0","0.31","79.01","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Barhapur","GEN","Kulveer Singh","MALE","62.0","GEN","IND","6.0","22.0","338100.0","3164.0","222149.0","1.42","1578.0","0.71","65.71","0.0","4.0"
"2013","5","Karnataka","29","9.0","Chickpet","GEN","Ambrose D Mello","MALE","45.0","GEN","IND","12.0","16.0","187694.0","133.0","108814.0","0.12","20.0","0.02","57.97","0.0","4.0"
"2014","5","Andhra Pradesh","28","1.0","Peddapalle","GEN","Kondra Enock","MALE","51.0","GEN","ICSP","13.0","13.0","221013.0","278.0","167829.0","0.17","21.0","0.01","75.94","0.0","4.0"
"2016","5","West Bengal","19","16.0","Taldangra","GEN","Pandab Saren","MALE","45.0","GEN","IND","8.0","8.0","211526.0","1131.0","183441.0","0.62","34.0","0.02","86.72","0.0","4.0"
"2019","10","Maharashtra","27","13.0","Katol","GEN","Anil Deshmukh","MALE","69.0","GEN","NCP","1.0","11.0","272288.0","96842.0","190017.0","50.96","17057.0","8.98","69.79","0.0","4.0"
"2013","2","Meghalaya","17","9.0","Dadenggre","ST","Rohidas Marak","MALE","56.0","ST","NCP","6.0","6.0","24618.0","290.0","22477.0","1.29","0.0","0.0","91.3","0.0","4.0"
"2018","12","Telangana","36","2.0","Mahbubnagar","GEN","Mudavath Ravi Naik","MALE","","GEN","IND","9.0","14.0","212851.0","513.0","159661.0","0.32","149.0","0.09","75.01","0.0","4.0"
"2014","5","Odisha","21","15.0","Umarkote","ST","Dambarudhar Majhi","MALE","32.0","ST","IND","8.0","7.0","174212.0","2507.0","135943.0","1.84","0.0","0.0","78.03","0.0","4.0"
"2012","3","Uttar Pradesh","09","16.0","Khurja","SC","Sushil","MALE","31.0","SC","BSP(A)","7.0","16.0","326538.0","1015.0","209860.0","0.48","177.0","0.08","64.27","0.0","4.0"
"2016","5","West Bengal","19","16.0","Maldaha","SC","Madhumoy Sarkar","MALE","38.0","SC","IND","7.0","7.0","211279.0","1944.0","182484.0","1.07","566.0","0.31","86.37","0.0","4.0"
"2013","5","Karnataka","29","9.0","Davanagere North","GEN","S S Mallikarjuna","MALE","45.0","GEN","INC","1.0","19.0","208005.0","88101.0","134450.0","65.53","57280.0","42.6","64.64","0.0","4.0"
"2020","2","Delhi","07","11.0","Rohtas Nagar","GEN","Trivender","MALE","38.0","GEN","BSP","4.0","10.0","210943.0","619.0","142227.0","0.44","106.0","0.07","67.42","0.0","4.0"
"2013","5","Karnataka","29","9.0","Kanakagiri","SC","M Yesappa","MALE","33.0","SC","CPI(ML)(L)","14.0","15.0","183620.0","560.0","135446.0","0.41","2.0","0.0","73.76","0.0","4.0"
"2019","10","Maharashtra","27","13.0","Shrivardhan","GEN","Akmal Aslam Quadiri","MALE","33.0","GEN","IUML","13.0","15.0","257600.0","330.0","157248.0","0.21","49.0","0.03","61.04","0.0","4.0"
"2009","5","Andhra Pradesh","28","13.0","Wyra","ST","Banoth Vani Kumari","FEMALE","44.0","ST","PRAP","3.0","13.0","149359.0","16585.0","127094.0","13.05","11034.0","8.68","85.09","0.0","4.0"
"2014","10","Haryana","06","12.0","Samalkha","GEN","Ravinder Machhrouli","MALE","42.0","GEN","IND","1.0","13.0","184208.0","53294.0","150459.0","35.42","20373.0","13.54","81.68","0.0","4.0"
"2012","3","Punjab","03","14.0","Ludhiana North","GEN","Rakesh Garg","MALE","33.0","GEN","IND","6.0","12.0","161339.0","524.0","111194.0","0.47","43.0","0.04","68.92","0.0","4.0"
"2011","5","Puducherry","34","12.0","Oussudu","SC","S T Cale","MALE","38.0","SC","PB","5.0","7.0","24770.0","77.0","22672.0","0.34","10.0","0.04","91.53","0.0","4.0"
"2016","5","West Bengal","19","16.0","Singur","GEN","Rabindranath Bhattacharya E","MALE","83.0","GEN","AITC","1.0","6.0","231103.0","96212.0","195444.0","49.23","20327.0","10.4","84.57","0.0","4.0"
"2015","11","Bihar","10","16.0","Hathua","GEN","Dr Shashi Bhushan Rai","MALE","31.0","GEN","IND","4.0","15.0","273416.0","4333.0","158595.0","2.73","306.0","0.19","58.01","0.0","4.0"
"2018","12","Madhya Pradesh","23","15.0","Sidhi","GEN","Nota","None","","GEN","NOTA","7.0","12.0","223754.0","2823.0","152990.0","1.85","1102.0","0.72","68.37","0.0","4.0"
