Year (year),Month (month),State Name (state_name),State Code (state_code),Assembly No (assembly_no),Assembly Constituency Name (ac_name),Assmebly Constituency Type (ac_type),Candidate Name (candidate_name),Sex (sex),Age (age),Candidate Type (candidate_type),Party (party),Position (position),Assembly Constituency Candidates (ac_total_candidates),Total Electors in Constituency (total_electors),Total Votes Obtained (total_votes),Total Valid Votes (total_valid_votes),Vote Share Percentage (vote_share_percentage),Margin (margin),Margin Percentage (margin_percentage),Turn out Percentage (turnout_percentage),Poll No (poll_no),Delimit Id (delimit_id)
"2014","5","Andhra Pradesh","28","14.0","Kodur","SC","Koramutla Venkata Subbaiah","MALE","38.0","SC","IND","5.0","15.0","176660.0","523.0","137138.0","0.38","73.0","0.05","77.63","0.0","4.0"
"2018","12","Telangana","36","2.0","Siddipet","GEN","Bhogi Srinivas","MALE","","GEN","IND","8.0","12.0","209335.0","905.0","167055.0","0.54","107.0","0.06","79.8","0.0","4.0"
"2013","2","West Bengal","19","15.0","Nalhati","GEN","Md Noorul Hoda","MALE","","GEN","AIUD","5.0","8.0","176584.0","1953.0","167701.0","1.16","585.0","0.35","94.97","1.0","4.0"
"2020","11","Bihar","10","17.0","Kutumba","SC","Sarun Paswan","MALE","25.0","SC","LJP","4.0","15.0","266974.0","11800.0","138825.0","8.5","7803.0","5.62","52.0","0.0","4.0"
"2017","3","Punjab","03","15.0","Amritsar North","GEN","Roop Lal","MALE","40.0","GEN","IND","6.0","13.0","175908.0","205.0","118084.0","0.17","2.0","0.0","67.13","0.0","4.0"
"2016","5","West Bengal","19","16.0","Raghunathpur","SC","Mahadeb Bauri","MALE","35.0","SC","BSP","7.0","6.0","234336.0","3187.0","192884.0","1.65","0.0","0.0","82.31","0.0","4.0"
"2019","4","Andhra Pradesh","28","15.0","Kalyandurg","GEN","Neelakantapuram Raghuveera Reddy","MALE","63.0","GEN","INC","3.0","16.0","219685.0","28883.0","190841.0","15.13","27329.0","14.32","86.87","0.0","4.0"
"2012","3","Punjab","03","14.0","Ajnala","GEN","Jagdish Kaur","FEMALE","45.0","GEN","BSP(A)","9.0","10.0","138531.0","231.0","115607.0","0.2","61.0","0.05","83.45","0.0","4.0"
"2012","12","Gujarat","24","12.0","Gadhada","SC","Maru Pravinbhai Tidabhai","MALE","49.0","SC","INC","2.0","10.0","221055.0","54959.0","145193.0","37.85","43247.0","29.79","65.68","0.0","4.0"
"2009","10","Haryana","06","11.0","Israna","SC","Balbir","MALE","35.0","SC","INC","2.0","9.0","128894.0","41725.0","94889.0","43.97","36623.0","38.6","73.62","0.0","4.0"
"2013","12","Rajasthan","08","14.0","Pipalda","GEN","Vidhyashankar Nandwana","MALE","55.0","GEN","BJP","1.0","9.0","174316.0","47089.0","127788.0","36.85","7749.0","6.06","73.31","0.0","4.0"
"2015","11","Bihar","10","16.0","Gaura Bauram","GEN","Tamanna Khan","MALE","32.0","GEN","GJDS","10.0","13.0","228697.0","1051.0","120370.0","0.87","3.0","0.0","52.63","0.0","4.0"
"2009","10","Haryana","06","11.0","Yamunanagar","GEN","Jarib Hassan","MALE","42.0","GEN","IND","8.0","15.0","153439.0","619.0","112899.0","0.55","85.0","0.08","73.58","0.0","4.0"
"2009","10","Maharashtra","27","11.0","Maval","GEN","Adv Navnath Kundlik Gade","MALE","51.0","GEN","BBM","7.0","9.0","280748.0","1356.0","183574.0","0.74","185.0","0.1","65.39","0.0","4.0"
"2014","5","Andhra Pradesh","28","14.0","Tirupati","GEN","Bandi. Ramesh Babu","MALE","46.0","SC","BSP","10.0","29.0","290107.0","575.0","172525.0","0.33","158.0","0.09","59.47","0.0","4.0"
"2009","10","Maharashtra","27","11.0","Hingna","GEN","Rajaram Gayaprasad Pande","MALE","48.0","GEN","BSP","3.0","15.0","275584.0","9262.0","161428.0","5.74","619.0","0.38","58.58","0.0","4.0"
"2020","11","Bihar","10","17.0","Rajauli","SC","Shravan Kumar","MALE","42.0","SC","IND","16.0","23.0","332577.0","662.0","167735.0","0.39","92.0","0.05","50.43","0.0","4.0"
"2021","5","Tamil Nadu","33","12.0","Alangudi","GEN","Nota","None","","GEN","NOTA","6.0","11.0","218990.0","702.0","171842.0","0.41","258.0","0.15","78.47","0.0","4.0"
"2012","3","Uttar Pradesh","09","16.0","Mehnaun","GEN","Dashrath","MALE","42.0","GEN","IND","8.0","16.0","318737.0","2021.0","178964.0","1.13","430.0","0.24","56.15","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Amethi","GEN","Kailash Yadav","MALE","38.0","GEN","IND","7.0","24.0","334587.0","1178.0","187717.0","0.63","184.0","0.1","56.1","0.0","4.0"
